Codigo,Marca,Modelo,Años,Año_Inicio,Año_Fin,Motor,Cilindros,Tipo,Sistema,Referencias_Cruzadas,Imagen
FILS53,Cadillac (Plataformas DeVille & Fleetwood 60),Cedazo,Cadillac,,,DeVille,91-93,Cedazo / Filtro de Aspiración para Bomba de Combustible (Fuel Pump Strainer),SISTEMA DE COMBUSTIBLE Y FILTRACIÓN - LÍNEA CEDAZOS DE BOMBA DE COMBUSTIBLE,,/web/4/css/assets/product/accesorios/cadillac/1.png
FILS53,Cadillac (Plataformas DeVille & Fleetwood 60),Cedazo,Cadillac,,,DeVille,90,Cedazo / Filtro de Aspiración para Bomba de Combustible (Fuel Pump Strainer),SISTEMA DE COMBUSTIBLE Y FILTRACIÓN - LÍNEA CEDAZOS DE BOMBA DE COMBUSTIBLE,,/web/4/css/assets/product/accesorios/cadillac/1.png
FILS53,Cadillac (Plataformas DeVille & Fleetwood 60),Cedazo,Cadillac,,,Fleetwood 60,91-92,Cedazo / Filtro de Aspiración para Bomba de Combustible (Fuel Pump Strainer),SISTEMA DE COMBUSTIBLE Y FILTRACIÓN - LÍNEA CEDAZOS DE BOMBA DE COMBUSTIBLE,,/web/4/css/assets/product/accesorios/cadillac/1.png
FILS53,Cadillac (Plataformas DeVille & Fleetwood 60),Cedazo,Cadillac,,,Fleetwood 60,90,Cedazo / Filtro de Aspiración para Bomba de Combustible (Fuel Pump Strainer),SISTEMA DE COMBUSTIBLE Y FILTRACIÓN - LÍNEA CEDAZOS DE BOMBA DE COMBUSTIBLE,,/web/4/css/assets/product/accesorios/cadillac/1.png
LO06,"Chrysler (Aplicación Universal para Brida de 2.750"" / 69.85 mm)",Candado,Chrysler,,,"Diámetro de Brida 2.750"" (69.85 mm)",N/A,Anillo de Retención y Empaque / Candado de Módulo de Bomba de Combustible (Fuel Tank Lock Ring & Gasket Set),SISTEMA DE COMBUSTIBLE Y TANQUE - LÍNEA CANDADOS Y EMPAQUES DE BOMBA DE COMBUSTIBLE,,/web/4/css/assets/product/accesorios/chrysler/1.png
FILS10,"Chrysler, Dodge & Honda (Plataformas Cirrus, Sebring, Ram 50, Avenger & Passport)",Cedazo,Chrysler,,,Cirrus,00,Cedazo / Filtro de Aspiración para Bomba de Combustible (Fuel Pump Strainer),SISTEMA DE COMBUSTIBLE Y FILTRACIÓN - LÍNEA CEDAZOS DE BOMBA DE COMBUSTIBLE,,/web/4/css/assets/product/accesorios/chrysler/2.png
FILS10,"Chrysler, Dodge & Honda (Plataformas Cirrus, Sebring, Ram 50, Avenger & Passport)",Cedazo,Chrysler,,,Sebring,97-00,Cedazo / Filtro de Aspiración para Bomba de Combustible (Fuel Pump Strainer),SISTEMA DE COMBUSTIBLE Y FILTRACIÓN - LÍNEA CEDAZOS DE BOMBA DE COMBUSTIBLE,,/web/4/css/assets/product/accesorios/chrysler/2.png
FILS10,"Chrysler, Dodge & Honda (Plataformas Cirrus, Sebring, Ram 50, Avenger & Passport)",Cedazo,Dodge,,,Ram 50,91-92,Cedazo / Filtro de Aspiración para Bomba de Combustible (Fuel Pump Strainer),SISTEMA DE COMBUSTIBLE Y FILTRACIÓN - LÍNEA CEDAZOS DE BOMBA DE COMBUSTIBLE,,/web/4/css/assets/product/accesorios/chrysler/2.png
FILS10,"Chrysler, Dodge & Honda (Plataformas Cirrus, Sebring, Ram 50, Avenger & Passport)",Cedazo,Dodge,,,Avenger,95-99,Cedazo / Filtro de Aspiración para Bomba de Combustible (Fuel Pump Strainer),SISTEMA DE COMBUSTIBLE Y FILTRACIÓN - LÍNEA CEDAZOS DE BOMBA DE COMBUSTIBLE,,/web/4/css/assets/product/accesorios/chrysler/2.png
FILS10,"Chrysler, Dodge & Honda (Plataformas Cirrus, Sebring, Ram 50, Avenger & Passport)",Cedazo,Honda,,,Passport,94-97,Cedazo / Filtro de Aspiración para Bomba de Combustible (Fuel Pump Strainer),SISTEMA DE COMBUSTIBLE Y FILTRACIÓN - LÍNEA CEDAZOS DE BOMBA DE COMBUSTIBLE,,/web/4/css/assets/product/accesorios/chrysler/2.png
